title,runtime,imdb_score,imdb_votes,user_review_count,critic_review_count,critic_overall_score,critic_positive_score,critic_mixed_score,critic_negative_score,user_overall_score,user_positive_score,user_mixed_score,user_negative_score,#_of_nominations,#_of_wins
Easy Rider,95,7.3,108314,460,131,85,16,2,0,7.6,76,8,9,2,0
Ed Wood,127,7.9,173650,483,108,70,14,3,2,7.2,177,18,38,2,2
Educating Rita,110,7.2,13873,97,28,52,5,2,2,6.9,6,5,0,3,0
Edward Scissorhands,105,7.9,475304,729,114,74,14,4,1,8.8,565,32,19,1,0
El Cid,182,7.2,14185,120,42,79,17,2,0,7.8,5,1,0,3,0
El Norte,141,7.7,5089,56,26,75,9,0,1,7.8,10,0,2,1,0
Election,103,7.3,95905,490,156,83,30,3,0,8.8,241,13,7,1,0
Elizabeth,124,7.4,97870,448,114,75,25,4,1,7.4,59,7,9,7,1
Elizabeth: The Golden Age,114,6.8,70856,252,195,45,7,26,2,6.3,55,24,19,2,1
Elling,89,7.5,14923,100,73,70,15,6,0,6.6,9,5,3,1,0
Emma,120,6.6,38560,163,57,66,15,6,1,8.2,34,4,2,3,1
Empire of the Sun,153,7.7,123525,379,65,62,12,9,1,7.9,97,14,7,6,0
Enchanted,107,7.1,194257,453,222,75,28,4,0,8.2,261,35,15,3,0
Enchanted April,95,7.3,6560,72,29,78,19,5,0,0,0,1,0,3,0
Encounters at the End of the World,99,7.7,18334,82,151,80,24,1,0,7.7,31,4,4,1,0
Endless Love,116,4.9,8348,77,18,30,0,3,6,0,2,1,0,1,0
Erin Brockovich,131,7.4,192863,562,138,73,26,9,1,8.2,144,20,5,5,1
Ernest & Celestine,80,7.8,20205,64,107,86,21,1,0,7.7,74,5,7,1,0
Eternal Sunshine of the Spotless Mind,108,8.3,976635,1900,302,89,40,1,0,8.9,1037,43,34,2,1
Europa Europa,112,7.6,16152,86,35,75,11,1,0,7.5,4,0,0,1,0
Evil,113,7.8,37977,102,70,61,11,3,1,7.6,14,4,1,1,0
Evita,135,6.3,35513,215,66,45,8,12,3,7.8,89,11,17,5,1
Extremely Loud & Incredibly Close,129,6.9,101169,408,287,46,19,13,9,5.9,89,67,36,2,0
Face to Face,114,7.5,5557,23,26,68,4,3,0,0,2,0,0,2,0
Face/Off,138,7.3,368538,661,136,82,22,3,0,8.8,635,41,29,1,0
Faces,130,7.5,10565,67,65,88,15,1,0,0,1,1,0,3,0
Fame,134,6.6,22438,121,52,58,6,5,1,0,2,1,0,6,2
Fantastic Voyage,100,6.8,18657,131,71,72,7,2,0,6.2,3,3,0,5,2
Far from Heaven,107,7.4,46263,397,181,84,34,1,2,8,68,11,4,4,0
Far from the Madding Crowd,168,7.2,5714,96,37,55,2,2,0,7.3,4,0,0,1,0
Farewell My Concubine,171,8.1,27990,126,44,83,23,2,0,0,2,0,0,2,0
"Farewell, My Lovely",95,7,8206,103,47,70,4,5,0,8.6,5,0,0,1,0
Fargo,98,8.1,661538,1000,231,85,22,3,0,8.7,690,50,18,7,2
Fat City,96,7.3,8976,72,84,88,15,1,0,0,0,0,0,1,0
Fatal Attraction,119,6.9,84199,288,109,67,13,2,1,8.2,149,13,8,6,0
Father of the Bride,92,7.2,11171,69,45,76,6,3,0,0,1,2,0,3,0
Fiddler on the Roof,181,8,42936,186,68,67,9,4,0,7.9,13,1,1,8,3
Field of Dreams,107,7.5,116801,385,87,57,8,8,2,8.5,112,20,6,3,0
Fight Club,139,8.8,2024118,4.2,368,66,23,10,2,9,1880,73,76,1,0
Finding Nemo,100,8.2,1012858,1000,161,90,37,1,0,8.7,995,41,32,4,1
Finding Neverland,106,7.7,204386,678,206,67,27,11,0,7.8,135,28,4,7,1
Five Easy Pieces,98,7.4,36288,241,109,85,12,3,0,7.9,13,3,0,4,0
Flags of Our Fathers,135,7.1,122476,450,264,79,32,7,0,7,148,40,28,2,0
Flatliners,115,6.5,85633,191,63,55,6,2,2,8.8,89,10,4,1,0
Fly Away Home,107,6.9,25276,102,46,77,28,0,0,0,1,0,0,1,0
Flying Down to Rio,89,6.6,3676,72,27,72,9,2,0,0,0,0,0,1,0
"Food, Inc.",94,7.8,50969,200,116,80,27,0,1,8.2,66,7,3,1,0
Footloose,107,6.6,78021,159,61,42,4,2,6,7.5,9,7,0,2,0
Footnote,107,7.1,6004,33,110,83,24,3,0,6.3,16,2,6,1,0
For All Mankind,80,8.1,5649,36,64,79,11,0,0,0,0,0,1,1,0
For Whom the Bell Tolls,170,6.8,9244,83,26,68,6,4,0,0,0,1,0,9,1
For Your Eyes Only,127,6.7,99428,343,99,54,6,6,0,6.4,33,18,7,1,0
Forbidden Planet,98,7.5,48311,389,108,80,13,2,0,0,2,0,0,1,0
Foreign Correspondent,120,7.5,20620,165,72,88,17,0,0,0,2,1,0,6,0
Forrest Gump,142,8.8,1984076,2900,168,82,18,2,0,7.8,1204,48,225,13,6
Foul Play,116,6.8,15273,118,40,45,4,1,2,7.4,6,2,0,1,0
Four Weddings and a Funeral,117,7.1,149889,277,71,81,18,1,0,7.9,95,16,4,2,0
Frances,140,7.3,7828,70,29,48,1,5,2,0,3,0,0,2,0
Frida,123,7.4,88583,305,131,61,20,17,1,7.2,45,5,3,6,2
From Here to Eternity,118,7.6,46353,196,124,85,19,1,1,7.8,29,2,4,13,8
Frost/Nixon,122,7.7,107215,276,297,80,35,3,0,7.8,154,18,11,5,0
Frozen River,97,7.1,25606,111,158,82,28,2,0,7.9,67,8,6,2,0
Full Metal Jacket,116,8.3,721007,928,160,76,15,1,3,7.4,460,36,84,1,0
Funny Girl,151,7.4,22313,112,57,89,13,2,0,7,21,7,4,8,1
Gandhi,191,8.1,227164,321,110,79,12,4,0,8.7,33,2,0,11,8
Gangs of New York,167,7.5,432278,1200,223,72,27,12,0,7.5,300,57,18,10,0
