title,runtime,imdb_score,imdb_votes,user_review_count,critic_review_count,critic_overall_score,critic_positive_score,critic_mixed_score,critic_negative_score,user_overall_score,user_positive_score,user_mixed_score,user_negative_score
Young Mr. Lincoln,100 min,7.5,8171,173,67,91,6,1,0,8.0,5,1,0
The Man in the Iron Mask,113 min,7.1,1693,32,18,,,,,,,,
Bachelor Mother,82 min,7.5,4070,58,30,,,,,,,,
Second Fiddle,85 min,6.4,487,17,2,,,,,,,,
She Married a Cop,66 min,5.3,57,2,,,,,,,,,
Five Times Five,20 min,7.7,11,,,,,,,,,,
The Pointer,9 min,6.8,613,6,3,,,,,,,,
Way Down South,61 min,5.5,225,10,5,,,,,,,,
Beau Geste,112 min,7.6,5955,64,29,69,5,2,0,tbd,0,0,1
They Shall Have Music,102 min,6.9,437,12,2,,,,,,,,
The Wizard of Oz,102 min,8.1,388104,786,159,92,28,2,0,8.5,412,30,22
When Tomorrow Comes,90 min,6.8,609,15,5,,,,,,,,
Detouring America,7 min,5.9,300,5,,,,,,,,,
The Hunchback of Notre Dame,117 min,7.8,11280,106,43,,,,,,,,
