title,user_review_count,critic_review_count,critic_overall_score,critic_positive_score,critic_mixed_score,critic_negative_score,user_overall_score,user_positive_score,user_mixed_score,user_negative_score
8½,297,127,91,23,0,0,7.7,12,4,2
Papa's Delicate Condition,8,6,,,,,,,,
The Critic,16,4,,,,,,,,
Hud,161,62,62,5,3,0,7.3,4,0,0
Irma la Douce,78,59,,,,,,,,
Cleopatra,253,88,60,7,5,2,7.0,12,7,1
Tom Jones,83,44,77,13,2,0,7.0,4,0,1
Lilies of the Field,112,28,61,5,3,0,6.8,2,2,0
The V.I.P.s,69,27,51,3,2,1,tbd,2,1,0
Chagall,,,,,,,,,,
The Chicken,6,,,,,,,,,
It's a Mad Mad Mad Mad World,426,71,59,5,4,1,7.8,6,3,0
America America,40,32,72,9,3,0,tbd,0,0,0
"Yesterday, Today and Tomorrow",37,31,,,,,,,,
Robert Frost: A Lover's Quarrel with the World,2,4,,,,,,,,
Becket,114,52,68,8,1,1,7.4,20,4,1
To Be Alive!,,3,,,,,,,,
The Night of the Iguana,99,35,,,,,,,,
Mary Poppins,354,111,88,13,0,0,8.0,67,6,5
Topkapi,98,37,,,,,,,,
Goldfinger,543,137,87,10,2,0,8.3,102,13,1
World Without Sun,2,4,,,,,,,,
My Fair Lady,377,107,95,13,2,0,7.7,27,5,2
Father Goose,81,33,,,,,,,,
Zorba the Greek,96,40,,,,,,,,
The Pink Phink,16,,,,,,,,,
Casals Conducts: 1964,,,,,,,,,,
Nine from Little Rock,,,,,,,,,,
The Sound of Music,544,136,63,6,3,2,8.5,55,3,3
The Shop on Main Street,52,42,,,,,,,,
The Sandpiper,59,29,,,,,,,,
Cat Ballou,109,48,60,3,4,0,6.3,3,3,0
The Great Race,180,40,71,5,0,0,7.0,3,1,1
Darling,72,55,,,,,,,,
Ship of Fools,81,29,,,,,,,,
War and Peace,72,29,,,,,,,,
The Eleanor Roosevelt Story,2,3,,,,,,,,
Thunderball,382,118,64,5,4,0,6.7,44,23,3
A Patch of Blue,103,27,73,4,1,0,tbd,2,0,0
A Thousand Clowns,79,29,,,,,,,,
The Dot and the Line: A Romance in Lower Mathematics,19,6,,,,,,,,
Doctor Zhivago,327,106,69,11,2,1,8.3,30,3,0
Wild Wings,2,,,,,,,,,
Born Free,44,27,,,,,,,,
The War Game,67,57,,,,,,,,
A Herb Alpert & the Tijuana Brass Double Feature,3,,,,,,,,,
A Man and a Woman,72,37,,,,,,,,
Who's Afraid of Virginia Woolf?,324,103,75,9,2,0,7.8,14,3,0
Fantastic Voyage,131,71,72,7,2,0,6.2,3,3,0
A Funny Thing Happened on the Way to the Forum,94,32,,,,,,,,
Closely Watched Trains,58,63,,,,,,,,
The Fortune Cookie,82,47,63,6,3,0,tbd,2,1,0
A Man for All Seasons,203,81,72,7,4,0,7.1,8,2,1
Grand Prix,141,48,72,5,3,0,tbd,3,0,0
A Year Toward Tomorrow,,,,,,,,,,
The Anderson Platoon,6,2,,,,,,,,
The Box,5,2,,,,,,,,
Camelot,117,42,70,2,3,0,tbd,1,1,0
Thoroughly Modern Millie,104,25,,,,,,,,
The Dirty Dozen,206,92,73,9,2,0,7.7,11,2,1
In the Heat of the Night,267,98,75,12,2,0,8.0,24,4,0
Bonnie and Clyde,510,118,86,16,3,1,8.2,116,7,4
A Place to Stand,5,,,,,,,,,
Cool Hand Luke,381,131,92,16,0,0,8.6,53,3,1
The Producers,288,108,96,6,0,0,8.4,53,5,2
Doctor Dolittle,67,28,34,1,3,2,tbd,1,1,0
Guess Who's Coming to Dinner,437,75,63,3,2,1,7.3,15,2,1
The Graduate,816,190,83,15,4,0,7.4,162,15,29
The Redwoods,,,,,,,,,,
Why Man Creates,36,2,,,,,,,,
Romeo and Juliet,229,38,69,6,6,0,tbd,2,1,0
2001: A Space Odyssey,2.4K,285,84,20,3,2,8.2,"1,041",75,148
Rosemary's Baby,628,267,96,14,1,0,8.2,179,16,9
The Thomas Crown Affair,161,78,66,5,2,0,7.0,7,3,0
Charly,70,40,50,1,5,0,tbd,1,0,0
Robert Kennedy Remembered,3,,,,,,,,,
Funny Girl,112,57,89,13,2,0,7.0,21,7,4
Oliver!,196,52,74,7,4,0,6.7,5,1,1
The Subject Was Roses,28,8,,,,,,,,
Bullitt,408,118,81,18,2,0,7.0,18,1,4
The Lion in Winter,202,75,,,,,,,,
Winnie the Pooh and the Blustery Day,14,3,,,,,,,,
The Prime of Miss Jean Brodie,91,40,,,,,,,,
Z,115,85,86,18,1,0,7.0,6,2,2
Journey Into Self,,,,,,,,,,
Midnight Cowboy,424,130,79,14,2,0,8.2,40,5,1
True Grit,201,82,83,15,2,0,tbd,2,1,0
Love of Life,6,,,,,,,,,
Butch Cassidy and the Sundance Kid,465,113,66,10,0,3,8.6,156,5,5
Marooned,94,30,62,5,2,0,tbd,0,1,1
